ARTICULO_NORM,CATEGORIA,n_solicitudes,und_solicitadas,und_atendidas,und_no_disponible,n_atendidas,n_no_disponible,n_sin_estado,demanda_sem_max,n_sucursales,und_por_dia,und_por_semana,und_por_quincena,und_por_mes,pct_lineas_atendidas,pct_lineas_no_disponible,pct_und_atendidas,pct_und_no_disponible,senal_ruptura,pedido_semanal_sugerido,pedido_quincenal_sugerido,pedido_mensual_sugerido,MIN_und,MAX_und,ROP_und,Q_pedido_ref_mensual,GRUPO,demanda_sem_std,demanda_sem_prom,demanda_sem_mediana
STICKER DE REGALO,SUMINISTROS,22.0,5200.0,5200.0,0.0,22.0,0.0,0.0,1350.0,5.0,86.66666666666667,606.6666666666666,1300.0,2600.0,1.0,0.0,1.0,0.0,BAJA,728,1560,3120,675,3120,728,3120,UNIFICADO,,606.6666666666666,606.6666666666666
BOLSAS PEQUENAS NAVIDAD 2024,SUMINISTROS,20.0,2775.0,2775.0,0.0,20.0,0.0,0.0,920.0,6.0,46.25,323.75,693.75,1387.5,1.0,0.0,1.0,0.0,BAJA,389,833,1665,460,1840,389,1665,UNIFICADO,,323.75,323.75
BOLSAS MEDIANAS NAVIDAD 2024,SUMINISTROS,12.0,2460.0,2460.0,0.0,12.0,0.0,0.0,700.0,5.0,41.0,287.0,615.0,1230.0,1.0,0.0,1.0,0.0,BAJA,345,738,1476,350,1476,345,1476,UNIFICADO,,287.0,287.0
BOLSAS GRANDES KRAFT,SUMINISTROS,13.0,1215.0,1215.0,0.0,13.0,0.0,0.0,550.0,6.0,20.25,141.75,303.75,607.5,1.0,0.0,1.0,0.0,BAJA,171,365,729,275,1100,171,729,UNIFICADO,,141.75,141.75
BOLSA DE PAPELERA,LIMPIEZA E HIGIENE,30.0,900.0,760.0,140.0,26.0,4.0,0.0,100.0,9.0,15.0,105.0,225.0,450.0,0.8666666666666667,0.13333333333333333,0.8444444444444444,0.15555555555555556,MEDIA,126,270,540,105,540,126,540,UNIFICADO,,105.0,105.0
STICKER ADHESIVO DE CIERRE,SUMINISTROS,5.0,800.0,800.0,0.0,5.0,0.0,0.0,300.0,2.0,13.333333333333334,93.33333333333334,200.0,400.0,1.0,0.0,1.0,0.0,BAJA,113,240,480,150,600,113,480,UNIFICADO,,93.33333333333334,93.33333333333334
BOLSAS DE BASURA,LIMPIEZA E HIGIENE,53.0,594.0,544.0,50.0,52.0,1.0,0.0,105.0,8.0,9.9,69.3,148.5,297.0,0.9811320754716981,0.018867924528301886,0.9158249158249159,0.08417508417508418,BAJA,84,179,357,70,357,84,357,UNIFICADO,,69.3,69.3
BOLSAS EXTRA PEQUENA KRAFT,SUMINISTROS,4.0,550.0,550.0,0.0,4.0,0.0,0.0,300.0,4.0,9.166666666666666,64.16666666666667,137.5,275.0,1.0,0.0,1.0,0.0,BAJA,77,165,330,150,600,77,330,UNIFICADO,,64.16666666666667,64.16666666666667
BOLSAS PEQUENAS KRAFT,SUMINISTROS,1.0,400.0,400.0,0.0,1.0,0.0,0.0,400.0,1.0,6.666666666666667,46.66666666666667,100.0,200.0,1.0,0.0,1.0,0.0,BAJA,57,120,240,200,800,57,240,UNIFICADO,,46.66666666666667,46.66666666666667
BOLSA DE ENVIO MEDIANA,SUMINISTROS,11.0,324.0,254.0,70.0,9.0,2.0,0.0,100.0,4.0,5.4,37.800000000000004,81.0,162.0,0.8181818181818182,0.18181818181818182,0.7839506172839507,0.21604938271604937,MEDIA,46,98,195,50,200,46,195,UNIFICADO,,37.800000000000004,37.800000000000004
BOLSAS MEDIANAS KRAFT,SUMINISTROS,1.0,250.0,250.0,0.0,1.0,0.0,0.0,250.0,1.0,4.166666666666667,29.166666666666668,62.5,125.0,1.0,0.0,1.0,0.0,BAJA,35,75,150,125,500,35,150,UNIFICADO,,29.166666666666668,29.166666666666668
SOBRES DE BILLETES,OFICINA,5.0,220.0,220.0,0.0,5.0,0.0,0.0,100.0,4.0,3.6666666666666665,25.666666666666668,55.0,110.0,1.0,0.0,1.0,0.0,BAJA,31,66,132,50,200,31,132,UNIFICADO,,25.666666666666668,25.666666666666668
BOLSAS DE CELOFAN,SUMINISTROS,2.0,200.0,200.0,0.0,2.0,0.0,0.0,200.0,1.0,3.3333333333333335,23.333333333333336,50.0,100.0,1.0,0.0,1.0,0.0,BAJA,29,60,120,100,400,29,120,UNIFICADO,,23.333333333333336,23.333333333333336
CINTA DE EMBALAJE,SUMINISTROS,40.0,164.0,162.0,2.0,39.0,1.0,0.0,20.0,8.0,2.7333333333333334,19.133333333333333,41.0,82.0,0.975,0.025,0.9878048780487805,0.012195121951219513,BAJA,23,50,99,20,99,23,99,UNIFICADO,,19.133333333333333,19.133333333333333
BOLSA DE ENVIO GRANDE,SUMINISTROS,5.0,152.0,52.0,100.0,4.0,1.0,0.0,100.0,4.0,2.533333333333333,17.733333333333334,38.0,76.0,0.8,0.2,0.34210526315789475,0.6578947368421053,MEDIA,22,46,92,50,200,22,92,UNIFICADO,,17.733333333333334,17.733333333333334
CAFE,SUMINISTROS,33.0,88.0,84.0,4.0,29.0,4.0,0.0,10.0,8.0,1.4666666666666666,10.266666666666667,22.0,44.0,0.8787878787878788,0.12121212121212122,0.9545454545454546,0.045454545454545456,MEDIA,13,27,53,11,53,13,53,UNIFICADO,,10.266666666666667,10.266666666666667
LAPIZ,OFICINA,24.0,80.0,75.0,5.0,23.0,1.0,0.0,26.0,5.0,1.3333333333333333,9.333333333333334,20.0,40.0,0.9583333333333334,0.041666666666666664,0.9375,0.0625,BAJA,12,24,48,13,52,12,48,UNIFICADO,,9.333333333333334,9.333333333333334
BOLIGRAFOS,OFICINA,34.0,66.0,66.0,0.0,34.0,0.0,0.0,14.0,6.0,1.1,7.7,16.5,33.0,1.0,0.0,1.0,0.0,BAJA,10,20,40,8,40,10,40,UNIFICADO,,7.7,7.7
SERVILLETAS,LIMPIEZA E HIGIENE,27.0,60.0,33.0,26.0,13.0,13.0,1.0,12.0,8.0,1.0,7.0,15.0,30.0,0.48148148148148145,0.48148148148148145,0.55,0.43333333333333335,ALTA,12,21,41,7,41,9,41,UNIFICADO,,7.0,7.0
SOBRES MEDIA CARTA,OFICINA,5.0,53.0,53.0,0.0,5.0,0.0,0.0,40.0,5.0,0.8833333333333333,6.183333333333334,13.25,26.5,1.0,0.0,1.0,0.0,BAJA,8,16,32,20,80,8,32,UNIFICADO,,6.183333333333334,6.183333333333334
TAPABOCAS,INSUMOS MEDICOS,1.0,50.0,50.0,0.0,1.0,0.0,0.0,50.0,1.0,0.8333333333333334,5.833333333333334,12.5,25.0,1.0,0.0,1.0,0.0,BAJA,8,15,30,25,100,8,30,UNIFICADO,,5.833333333333334,5.833333333333334
ESENCIA SPLASH PARA BOLSAS,SUMINISTROS,20.0,46.0,26.0,20.0,9.0,11.0,0.0,10.0,6.0,0.7666666666666667,5.366666666666667,11.5,23.0,0.45,0.55,0.5652173913043478,0.43478260869565216,ALTA,10,16,32,6,32,7,32,UNIFICADO,,5.366666666666667,5.366666666666667
ROLLO IMPRESORA FISCAL PAQ 5 UND,SUMINISTROS,17.0,44.0,28.0,15.0,15.0,1.0,1.0,18.0,9.0,0.7333333333333333,5.133333333333334,11.0,22.0,0.8823529411764706,0.058823529411764705,0.6363636363636364,0.3409090909090909,BAJA,7,14,27,9,36,7,27,UNIFICADO,,5.133333333333334,5.133333333333334
SOBRE GRANDE,OFICINA,4.0,42.0,42.0,0.0,4.0,0.0,0.0,40.0,4.0,0.7,4.9,10.5,21.0,1.0,0.0,1.0,0.0,BAJA,6,13,26,20,80,6,26,UNIFICADO,,4.9,4.9
SOBRE MANILA TAMANO CARTA,OFICINA,3.0,41.0,41.0,0.0,3.0,0.0,0.0,20.0,3.0,0.6833333333333333,4.783333333333333,10.25,20.5,1.0,0.0,1.0,0.0,BAJA,6,13,25,10,40,6,25,UNIFICADO,,4.783333333333333,4.783333333333333
