COLOR_N,unid_vendidas,unid_mensuales,share_%,unid_mensuales_ult3,inv_pt_unid,inv_mp_kg,kg_total,kg_mensual,kg_mensual_ult3,dias_cobertura_PT,dias_cobertura_PT_ult3,dias_cobertura_MP,dias_cobertura_MP_ult3,demanda_LT_kg,demanda_target_kg,pedido_sugerido_kg,rotacion_score,riesgo_PT,status_MP,en_catalogo_MP,en_boom,velocity,score_logistica
NEGRO,4256,425.6,16.1,336.67,3064.0,759.78,1896.55,189.65,149.93,215.98,273.03,120.18,152.03,224.89,374.82,0.0,16.1,CRITICO - riesgo inmovilizacion,EXCESO - sobreinventario MP,True,True,0.14,0.66
BLANCO,3450,345.0,13.05,304.33,2291.0,863.66,1450.04,145.0,129.45,199.22,225.84,178.68,200.15,194.18,323.63,0.0,13.05,CRITICO - riesgo inmovilizacion,EXCESO - sobreinventario MP,True,True,0.15,0.57
AZUL MARINO,3214,321.4,12.16,234.33,1843.0,711.36,1425.11,142.51,103.64,172.03,235.95,149.75,205.92,155.45,259.09,0.0,12.16,CRITICO - riesgo inmovilizacion,EXCESO - sobreinventario MP,True,True,0.17,0.56
LILA,2275,227.5,8.61,96.67,947.0,188.44,707.59,70.76,35.76,124.88,293.9,79.89,158.1,53.63,89.39,0.0,8.61,ALTO - lento,EXCESO - sobreinventario MP,True,True,0.24,0.48
AZUL LAVANDA,2199,219.9,8.32,127.0,1480.0,221.0,927.82,92.78,56.5,201.91,349.61,71.46,117.34,84.76,141.26,0.0,8.32,CRITICO - riesgo inmovilizacion,OK - cobertura adecuada,True,True,0.15,0.42
ROSADO NEON,166,16.6,0.63,2.67,0.0,0.0,67.75,6.78,0.97,0.0,0.0,0.0,0.0,1.46,2.44,2.44,0.63,BAJO - rota bien,SIN STOCK MP - urgente,False,False,16.6,0.41
FUCSIA,85,8.5,0.32,5.33,0.0,90.12,31.47,3.15,2.11,0.0,0.0,859.24,1282.1,3.16,5.27,0.0,0.32,BAJO - rota bien,EXCESO - sobreinventario MP,True,False,8.5,0.39
VERDE MILITAR,1987,198.7,7.52,189.33,1679.0,141.86,882.23,88.22,84.8,253.5,266.04,48.24,50.19,127.2,212.0,70.14,7.52,CRITICO - riesgo inmovilizacion,BAJO - pedir pronto,True,True,0.12,0.39
MORADO,139,13.9,0.53,3.67,0.0,0.0,57.71,5.77,1.39,0.0,0.0,0.0,0.0,2.08,3.47,3.47,0.53,BAJO - rota bien,SIN STOCK MP - urgente,False,False,13.9,0.37
AZUL REY,1467,146.7,5.55,131.33,1423.0,390.44,652.31,65.23,54.92,291.0,325.05,179.56,213.28,82.38,137.3,0.0,5.55,CRITICO - riesgo inmovilizacion,EXCESO - sobreinventario MP,True,True,0.1,0.32
