COLOR_N,unid_vendidas,unid_mensual,share_pct,unid_mensual_ult3,unid_mensual_prev,tendencia_pct,cv_mensual,inv_pt_total,inv_pt_tiendas,inv_pt_taller,inv_mp_kg,kg_total,kg_mensual,kg_mensual_ult3,kg_por_unid,demanda_diaria_unid,dias_cob_tiendas,dias_cob_total_PT,demanda_diaria_kg,dias_cob_MP,kg_equivalente_PT,kg_equivalente_tiendas,demanda_45d_kg,demanda_75d_kg,demanda_90d_kg,pedido_para_75d_kg,pedido_para_90d_kg,pt_cover_kg_90d,pedido_neto_90d_kg,segmento_riesgo,comentario_riesgo,en_mp,en_boom,score,Color
NEGRO,4256,425.6,16.104741362999963,336.6666666666667,463.7142857142857,-27.397822961593757,0.4048256717851253,3064.0,1370.0,1694.0,759.78,1896.546477166822,189.65464771668218,149.92826343584963,0.44561712339446,11.222222222222223,122.07920792079207,273.029702970297,4.997608781194987,152.02870678051104,1365.3708660806255,610.4954590504102,224.89239515377443,374.82065858962403,449.78479030754886,0.0,0.0,449.78479030754886,0.0,ALTA ROTACION / SOBRESTOCK TIENDA,Vende mucho pero cobertura tienda elevada,True,True,0.7186564699300143,Negro
BLANCO,3450,345.0,13.054830287206267,304.3333333333333,362.42857142857144,-16.029431086585213,0.32277762503787766,2291.0,1188.0,1103.0,863.66,1450.0432718418215,145.00432718418216,129.4537651444548,0.4203023976353106,10.144444444444444,117.10843373493977,225.83789704271632,4.3151255048151596,200.147133388417,962.9127929824965,499.31924839074895,194.1806477166822,323.634412861137,388.3612954333644,0.0,0.0,388.3612954333644,0.0,ALTA ROTACION / BAJO RIESGO,Demanda sólida y sostenida,True,True,0.653768476549017,Blanco
AZUL MARINO,3214,321.4,12.16180421538578,234.33333333333334,358.7142857142857,-34.67410062392141,0.5769015822609108,1843.0,939.0,904.0,711.36,1425.1094727080022,142.51094727080022,103.63609972041007,0.44340680544741823,7.811111111111112,120.21337126600284,235.94594594594594,3.454536657347002,205.92052438844482,817.1987424395918,416.3589903151257,155.4541495806151,259.09024930102515,310.9082991612302,0.0,0.0,310.9082991612302,0.0,ALTA ROTACION / SOBRESTOCK TIENDA,Vende mucho pero cobertura tienda elevada,True,True,0.5858669855478285,Azul Marino
LILA,2275,227.5,8.608619971998335,96.66666666666667,283.57142857142856,-65.91099916036943,1.6656618151837277,947.0,559.0,388.0,188.44,707.5902190121155,70.75902190121155,35.756239515377445,0.3110286676976332,3.2222222222222223,173.48275862068965,293.8965517241379,1.1918746505125815,158.10387436208907,294.5441483096586,173.86502524297697,53.63435927306617,89.39059878844361,107.26871854613233,0.0,0.0,107.26871854613233,0.0,ROTACION MEDIA / RIESGO MODA,Caída reciente relevante,True,True,0.41836174005188154,Lila
AZUL LAVANDA,2199,219.9,8.321035304801907,127.0,259.7142857142857,-51.1001100110011,0.7735910644751492,1480.0,699.0,781.0,221.0,927.8222367194782,92.78222367194782,56.50454799627213,0.42192916631172267,4.233333333333333,165.11811023622047,349.6062992125984,1.883484933209071,117.33568774742542,624.4551661413495,294.9284872518941,84.7568219944082,141.26136999068032,169.5136439888164,0.0,0.0,169.5136439888164,0.0,ROTACION MEDIA / RIESGO MODA,Caída reciente relevante,True,True,0.44793729739284227,Azul Lavanda
VERDE MILITAR,1987,198.7,7.51882544367503,189.33333333333334,202.71428571428572,-6.600892647404275,0.46138414553221596,1679.0,815.0,864.0,141.86,882.2339748369059,88.22339748369059,84.80077819198509,0.4440030069637171,6.311111111111112,129.13732394366195,266.03873239436615,2.826692606399503,50.1858602095026,745.481048692081,361.86245067542944,127.20116728797764,212.00194547996273,254.40233457595528,70.14194547996271,112.54233457595527,254.40233457595528,0.0,ALTA ROTACION / SOBRESTOCK TIENDA,Vende mucho pero cobertura tienda elevada,True,True,0.4938133667284791,Verde Militar
AZUL REY,1467,146.7,5.551140878646838,131.33333333333334,153.28571428571428,-14.321217769493622,0.3695546824292513,1423.0,717.0,706.0,390.44,652.3112301957129,65.2311230195713,54.92057471264368,0.4446565986337512,4.377777777777778,163.78172588832484,325.05076142131975,1.8306858237547892,213.27526270957642,632.746339855828,318.8187812203996,82.38086206896551,137.3014367816092,164.76172413793103,0.0,0.0,164.76172413793103,0.0,ALTA ROTACION / SOBRESTOCK TIENDA,Vende mucho pero cobertura tienda elevada,True,True,0.43925255217826187,Azul Rey
AGUAMARINA,1372,137.2,5.191660044651304,88.33333333333333,158.14285714285714,-44.143330322192114,0.5240249380816023,1719.0,1005.0,714.0,363.88,585.3245945945946,58.53245945945946,36.95287356321839,0.4266214246316287,2.944444444444444,341.3207547169812,583.811320754717,1.2317624521072796,295.414103082522,733.3622289417698,428.75453175478685,55.429310344827584,92.38218390804597,110.85862068965517,0.0,0.0,110.85862068965517,0.0,ROTACION MEDIA / RIESGO MODA,Caída reciente relevante,True,True,0.3828366728386685,Aguamarina
ROJO,1215,121.5,4.597570666363946,79.33333333333333,139.57142857142858,-43.159331286250435,0.5302985399198273,1699.0,915.0,784.0,0.0,522.6941845293569,52.26941845293569,34.47518018018018,0.4302009749212814,2.6444444444444444,346.00840336134456,642.4789915966387,1.1491726726726728,0.0,730.911456391257,393.6338920529725,51.712770270270276,86.18795045045046,103.42554054054055,86.18795045045046,103.42554054054055,103.42554054054055,51.712770270270276,ROTACION MEDIA / RIESGO MODA,Caída reciente relevante,False,True,0.36666335028652886,Rojo
VINOTINTO,1133,113.3,4.287281946494116,107.0,116.0,-7.758620689655173,0.34793422434357435,1387.0,875.0,512.0,175.38,489.3784156570363,48.937841565703636,46.127174588381486,0.4319315230865281,3.566666666666667,245.3271028037383,388.8785046728972,1.537572486279383,114.0629151243363,599.0890225210145,377.9400827007121,69.19076188257223,115.31793647095373,138.38152376514446,0.0,0.0,138.38152376514446,0.0,ROTACION MEDIA / RIESGO INMOVILIZACION,Cobertura total muy alta,True,True,0.41163252250455595,Vinotinto
GRIS CLARO,971,97.1,3.6742725243122565,79.33333333333333,104.71428571428571,-24.238290131878127,0.5291202712138885,557.0,374.0,183.0,162.62,442.5333970177074,44.25333970177074,38.51029512270892,0.4557501514085555,2.6444444444444444,141.42857142857144,210.63025210084035,1.2836765040902973,126.68300734790178,253.85283433456542,170.45055662679977,57.76544268406338,96.2757378067723,115.53088536812676,0.0,0.0,115.53088536812676,0.0,ROTACION MEDIA / RIESGO CONTROLADO,Demanda útil con vigilancia,True,True,0.3623353716584077,Gris Claro
PURPURA,887,88.7,3.3564157868846256,70.66666666666667,96.42857142857143,-26.716049382716047,0.4169518603419349,983.0,577.0,406.0,0.0,318.82475302889094,31.882475302889095,24.041321839080457,0.35944166068646105,2.3555555555555556,244.95283018867923,417.311320754717,0.8013773946360152,0.0,353.3311524547912,207.39783821608802,36.06198275862069,60.10330459770114,72.12396551724137,60.10330459770114,72.12396551724137,72.12396551724137,36.06198275862069,ROTACION MEDIA / RIESGO INMOVILIZACION,Cobertura total muy alta,False,True,0.35949708034499406,Púrpura
