COLOR_N,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,TOTAL
NEGRO,357,400,856,235,423,488,487,378,372,260,4256
BLANCO,306,310,558,182,271,479,431,330,283,300,3450
AZUL MARINO,206,258,633,152,322,682,258,269,279,155,3214
LILA,81,49,240,61,164,1294,96,123,82,85,2275
AZUL LAVANDA,182,144,389,89,643,182,189,138,126,117,2199
VERDE MILITAR,129,162,432,100,162,248,186,206,199,163,1987
AZUL REY,155,125,277,75,127,171,143,142,157,95,1467
AGUAMARINA,86,99,276,140,117,128,261,97,90,78,1372
ROJO,119,137,288,90,133,112,98,85,110,43,1215
VINOTINTO,48,73,190,97,132,130,142,110,119,92,1133
GRIS CLARO,76,72,214,53,98,147,73,82,117,39,971
PURPURA,63,64,180,72,123,97,76,76,68,68,887
ROSADO PASTEL,58,50,148,29,60,49,50,64,65,43,616
AMARILLO NEON,58,27,83,48,65,59,63,53,65,25,546
AZUL CIELO,54,13,5,1,0,0,119,6,3,3,204
ROSADO NEON,27,11,2,0,2,1,115,5,0,3,166
MORADO,36,16,10,1,19,5,41,5,1,5,139
AZUL TURQUESA,73,27,0,0,0,0,2,0,0,0,102
AMARILLO PASTEL,44,25,0,0,1,18,1,0,2,0,91
FUCSIA,35,10,5,1,17,0,1,1,10,5,85
CORAL NEON,24,17,1,0,0,0,1,1,0,2,46
MORADO UVA,0,0,1,0,1,0,0,1,0,1,4
GRIS OSCURO,0,0,1,0,1,0,0,0,0,0,2
