Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[BACCCDA43TXS] BASIC LINE CROP TEE DAMA (Black, XS);BACCCDA43TXS;BASIC LINE CROP TEE;DAMA;Black;XS;5
CERRO VERDE;[BACCCDA43TS] BASIC LINE CROP TEE DAMA (Black, S);BACCCDA43TS;BASIC LINE CROP TEE;DAMA;Black;S;1
CERRO VERDE;[BACCCDA43TM] BASIC LINE CROP TEE DAMA (Black, M);BACCCDA43TM;BASIC LINE CROP TEE;DAMA;Black;M;6
CERRO VERDE;[BACCCDA43TL] BASIC LINE CROP TEE DAMA (Black, L);BACCCDA43TL;BASIC LINE CROP TEE;DAMA;Black;L;6
CERRO VERDE;[BACCCDA43TXL] BASIC LINE CROP TEE DAMA (Black, XL);BACCCDA43TXL;BASIC LINE CROP TEE;DAMA;Black;XL;2
CERRO VERDE;[BACCCDA158TXS] BASIC LINE CROP TEE DAMA (Ivory, XS);BACCCDA158TXS;BASIC LINE CROP TEE;DAMA;Ivory;XS;4
CERRO VERDE;[BACCCDA158TS] BASIC LINE CROP TEE DAMA (Ivory, S);BACCCDA158TS;BASIC LINE CROP TEE;DAMA;Ivory;S;8
CERRO VERDE;[BACCCDA158TM] BASIC LINE CROP TEE DAMA (Ivory, M);BACCCDA158TM;BASIC LINE CROP TEE;DAMA;Ivory;M;9
CERRO VERDE;[BACCCDA158TL] BASIC LINE CROP TEE DAMA (Ivory, L);BACCCDA158TL;BASIC LINE CROP TEE;DAMA;Ivory;L;5
CERRO VERDE;[BACCCDA158TXL] BASIC LINE CROP TEE DAMA (Ivory, XL);BACCCDA158TXL;BASIC LINE CROP TEE;DAMA;Ivory;XL;7
CERRO VERDE;[BACCCDA38TXS] BASIC LINE CROP TEE DAMA (Peanut, XS);BACCCDA38TXS;BASIC LINE CROP TEE;DAMA;Peanut;XS;3
CERRO VERDE;[BACCCDA38TM] BASIC LINE CROP TEE DAMA (Peanut, M);BACCCDA38TM;BASIC LINE CROP TEE;DAMA;Peanut;M;5
CERRO VERDE;[BACCCDA38TL] BASIC LINE CROP TEE DAMA (Peanut, L);BACCCDA38TL;BASIC LINE CROP TEE;DAMA;Peanut;L;2
CERRO VERDE;[BACCCDA38TXL] BASIC LINE CROP TEE DAMA (Peanut, XL);BACCCDA38TXL;BASIC LINE CROP TEE;DAMA;Peanut;XL;3
CERRO VERDE;[BAOCCCA43TXS] BASIC LINE OVERSIZED CAB (Black, XS);BAOCCCA43TXS;BASIC LINE OVERSIZED;CAB;Black;XS;5
CERRO VERDE;[BAOCCCA43TS] BASIC LINE OVERSIZED CAB (Black, S);BAOCCCA43TS;BASIC LINE OVERSIZED;CAB;Black;S;5
CERRO VERDE;[BAOCCCA43TM] BASIC LINE OVERSIZED CAB (Black, M);BAOCCCA43TM;BASIC LINE OVERSIZED;CAB;Black;M;1
CERRO VERDE;[BAOCCCA43TL] BASIC LINE OVERSIZED CAB (Black, L);BAOCCCA43TL;BASIC LINE OVERSIZED;CAB;Black;L;5
CERRO VERDE;[BAOCCCA43T2XL] BASIC LINE OVERSIZED CAB (Black, 2XL);BAOCCCA43T2XL;BASIC LINE OVERSIZED;CAB;Black;2XL;2
CERRO VERDE;[BAOCCCA158TXS] BASIC LINE OVERSIZED CAB (Ivory, XS);BAOCCCA158TXS;BASIC LINE OVERSIZED;CAB;Ivory;XS;5
CERRO VERDE;[BAOCCCA158TS] BASIC LINE OVERSIZED CAB (Ivory, S);BAOCCCA158TS;BASIC LINE OVERSIZED;CAB;Ivory;S;3
