Año;Mes;Producto;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada
2025;DICIEMBRE;BASIC LINE PANT DAMA;[BAPCCDA43TM] BASIC LINE PANT DAMA (Black - 999, M);BAPCCDA43TM;DAMA;Negro;M;SAMBIL VALENCIA;1
2025;OCTUBRE;BASIC LINE CROP TEE DAMA;[BACCCDA158TM] BASIC LINE CROP TEE DAMA (Ivory - 005, M);BACCCDA158TM;DAMA;Ivory;M;CERRO VERDE;1
2025;OCTUBRE;BASIC LINE CROP TEE DAMA;[BACCCDA158TS] BASIC LINE CROP TEE DAMA (Ivory - 005, S);BACCCDA158TS;DAMA;Ivory;S;CERRO VERDE;1
2025;OCTUBRE;BASIC LINE SHORT DAMA;[BASCCDA38TS] BASIC LINE SHORT DAMA (Peanut - 749, S);BASCCDA38TS;DAMA;Peanut;S;WEB;1
2025;OCTUBRE;BASIC LINE CROP TEE DAMA;[BACCCDA158TS] BASIC LINE CROP TEE DAMA (Ivory - 005, S);BACCCDA158TS;DAMA;Ivory;S;WEB;1
2025;OCTUBRE;BASIC LINE PANT DAMA;[BAPCCDA43TS] BASIC LINE PANT DAMA (Black - 999, S);BAPCCDA43TS;DAMA;Negro;S;WEB;1
2025;OCTUBRE;BASIC LINE PANT DAMA;[BAPCCDA43TXS] BASIC LINE PANT DAMA (Black - 999, XS);BAPCCDA43TXS;DAMA;Negro;XS;WEB;1
2025;OCTUBRE;BASIC LINE CROP TEE DAMA;[BACCCDA158TXS] BASIC LINE CROP TEE DAMA (Ivory - 005, XS);BACCCDA158TXS;DAMA;Ivory;XS;WEB;1
2025;OCTUBRE;BASIC LINE SHORT DAMA;[BASCCDA38TXS] BASIC LINE SHORT DAMA (Peanut - 749, XS);BASCCDA38TXS;DAMA;Peanut;XS;WEB;1
2025;OCTUBRE;BASIC LINE CROP TEE DAMA;[BACCCDA38TM] BASIC LINE CROP TEE DAMA (Peanut - 749, M);BACCCDA38TM;DAMA;Peanut;M;WEB;1
2025;OCTUBRE;BASIC LINE PANT DAMA;[BAPCCDA43TM] BASIC LINE PANT DAMA (Black - 999, M);BAPCCDA43TM;DAMA;Negro;M;WEB;1
2025;OCTUBRE;BASIC LINE SHORT DAMA;[BASCCDA38TL] BASIC LINE SHORT DAMA (Peanut - 749, L);BASCCDA38TL;DAMA;Peanut;L;WEB;1
2025;OCTUBRE;BASIC LINE SHORT DAMA;[BASCCDA43TL] BASIC LINE SHORT DAMA (Black - 999, L);BASCCDA43TL;DAMA;Negro;L;WEB;1
