Ubicaci�n;Producto;SKU;MODELO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;2,00
CERRO VERDE;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;3,00
CERRO VERDE;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;3,00
CERRO VERDE;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;5,00
CERRO VERDE;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;5,00
CERRO VERDE;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;7,00
CERRO VERDE;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;4,00
CERRO VERDE;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;4,00
CERRO VERDE;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;4,00
CERRO VERDE;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;2,00
CERRO VERDE;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;3,00
CERRO VERDE;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;2,00
CERRO VERDE;[POLPLCA16TM] CLASSIC POLO (Blanco, M);POLPLCA16TM;CLASSIC POLO;Blanco;M;2,00
CERRO VERDE;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;4,00
CERRO VERDE;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;3,00
CERRO VERDE;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;4,00
CERRO VERDE;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;1,00
CERRO VERDE;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;2,00
CERRO VERDE;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;1,00
CERRO VERDE;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;2,00
CERRO VERDE;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;1,00
CERRO VERDE;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;1,00
CERRO VERDE;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;1,00
CERRO VERDE;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;2,00
CERRO VERDE;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;3,00
CERRO VERDE;[POLPLCA16TL] CLASSIC POLO (Blanco, L);POLPLCA16TL;CLASSIC POLO;Blanco;L;-1,00
CERRO VERDE;[POLPLCA12TM] CLASSIC POLO (Azul Marino, M);POLPLCA12TM;CLASSIC POLO;Azul Marino;M;-1,00
CERRO VERDE;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;1,00
