Fecha de la orden;SKU;Variante del producto;MODELO;COLOR;TALLA;Cant. ordenada;UBICACI�N;FECHA
13/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA12T2XL;[POLPLCA12T2XL] CLASSIC POLO (2XL, Azul Marino - Acero);CLASSIC POLO;Azul Marino;2XL;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA50T2XL;[POLPLCA50T2XL] CLASSIC POLO (2XL, Rojo - Rush);CLASSIC POLO;Rojo;2XL;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA12TXL;[POLPLCA12TXL] CLASSIC POLO (XL, Azul Marino - Acero);CLASSIC POLO;Azul Marino;XL;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA14TL;[POLPLCA14TL] CLASSIC POLO (L, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;L;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA30TM;[POLPLCA30TM] CLASSIC POLO (M, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;M;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA33TS;[POLPLCA33TS] CLASSIC POLO (S, Beige - Oxford Tan);CLASSIC POLO;Beige;S;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA16TXL;[POLPLCA16TXL] CLASSIC POLO (XL, Blanco - Blanco);CLASSIC POLO;Blanco;XL;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA12TXL;[POLPLCA12TXL] CLASSIC POLO (XL, Azul Marino - Acero);CLASSIC POLO;Azul Marino;XL;1,00;La Grieta;junio-2025
13/06/2025;POLPLCA33TXL;[POLPLCA33TXL] CLASSIC POLO (XL, Beige - Oxford Tan);CLASSIC POLO;Beige;XL;1,00;La Grieta;junio-2025
