Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CLASICA DAILY 3.0;CAB;Blanco;S;6
CERRO VERDE;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CLASICA DAILY 3.0;CAB;Blanco;M;1
CERRO VERDE;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CLASICA DAILY 3.0;CAB;Blanco;L;1
CERRO VERDE;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CLASICA DAILY 3.0;CAB;Blanco;XL;3
CERRO VERDE;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CLASICA DAILY 3.0;CAB;Negro;S;3
CERRO VERDE;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CLASICA DAILY 3.0;CAB;Negro;M;3
CERRO VERDE;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CLASICA DAILY 3.0;CAB;Negro;L;4
CERRO VERDE;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CLASICA DAILY 3.0;CAB;Verde Militar;S;4
CERRO VERDE;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CLASICA DAILY 3.0;CAB;Verde Militar;M;5
CERRO VERDE;[DAYCSTCA66TXL] CLASICA DAILY 3.0 CAB (Verde Militar, XL);DAYCSTCA66TXL;CLASICA DAILY 3.0;CAB;Verde Militar;XL;2
CERRO VERDE;[DAYCSTCA66T2XL] CLASICA DAILY 3.0 CAB (Verde Militar, 2XL);DAYCSTCA66T2XL;CLASICA DAILY 3.0;CAB;Verde Militar;2XL;3
CERRO VERDE;[DAYCSTDA16TXS] CLASICA DAILY 3.0 DAMA (Blanco, XS);DAYCSTDA16TXS;CLASICA DAILY 3.0;DAMA;Blanco;XS;4
CERRO VERDE;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;CLASICA DAILY 3.0;DAMA;Blanco;S;1
CERRO VERDE;[DAYCSTDA16TL] CLASICA DAILY 3.0 DAMA (Blanco, L);DAYCSTDA16TL;CLASICA DAILY 3.0;DAMA;Blanco;L;4
CERRO VERDE;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;CLASICA DAILY 3.0;DAMA;Negro;M;3
CERRO VERDE;[DAYCSTDA43TL] CLASICA DAILY 3.0 DAMA (Negro, L);DAYCSTDA43TL;CLASICA DAILY 3.0;DAMA;Negro;L;2
CHACAO;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CLASICA DAILY 3.0;CAB;Blanco;S;7
CHACAO;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CLASICA DAILY 3.0;CAB;Blanco;M;7
CHACAO;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CLASICA DAILY 3.0;CAB;Blanco;L;1
CHACAO;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CLASICA DAILY 3.0;CAB;Blanco;XL;3
CHACAO;[DAYCSTCA16T2XL] CLASICA DAILY 3.0 CAB (Blanco, 2XL);DAYCSTCA16T2XL;CLASICA DAILY 3.0;CAB;Blanco;2XL;5
CHACAO;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CLASICA DAILY 3.0;CAB;Negro;S;5
CHACAO;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CLASICA DAILY 3.0;CAB;Negro;M;6
CHACAO;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CLASICA DAILY 3.0;CAB;Negro;L;8
CHACAO;[DAYCSTCA43TXL] CLASICA DAILY 3.0 CAB (Negro, XL);DAYCSTCA43TXL;CLASICA DAILY 3.0;CAB;Negro;XL;2
CHACAO;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CLASICA DAILY 3.0;CAB;Verde Militar;S;10
CHACAO;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CLASICA DAILY 3.0;CAB;Verde Militar;M;9
