Año;Mes;modelo;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada;fecha (mes año)
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CAB;Blanco;L;Pedidos;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Pedidos;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Valencia;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Valencia;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Valencia;1;agosto-2026
