trans;SKU;Variante del producto;Modelo;Genero;Talla;Color;Cant. ordenada;Ubicación;Fecha
02/06/2025;PANNTDA30TM;[PANNTDA30TM] EXPLORE PANTS DAMA (M, Gris Claro - 9734);EXPLORE PANTS;DAMA;M;Gris Claro;1,00;La Grieta;junio-2025
02/06/2025;PANNTDA66TL;[PANNTDA66TL] EXPLORE PANTS DAMA (L, Verde Militar - 60620);EXPLORE PANTS;DAMA;L;Verde Militar;1,00;La Grieta;junio-2025
02/06/2025;PANNTCA43TM;[PANNTCA43TM] EXPLORE PANTS CAB (M, Negro - 10);EXPLORE PANTS;CAB;M;Negro;1,00;La Grieta;junio-2025
03/06/2025;PANNTCA12TXL;[PANNTCA12TXL] EXPLORE PANTS CAB (XL, Azul Marino - 5102);EXPLORE PANTS;CAB;XL;Azul Marino;1,00;La Grieta;junio-2025
03/06/2025;PANNTDA30TS;[PANNTDA30TS] EXPLORE PANTS DAMA (S, Gris Claro - 9734);EXPLORE PANTS;DAMA;S;Gris Claro;1,00;La Grieta;junio-2025
04/06/2025;PANNTDA30TXL;[PANNTDA30TXL] EXPLORE PANTS DAMA (XL, Gris Claro - 9734);EXPLORE PANTS;DAMA;XL;Gris Claro;1,00;La Grieta;junio-2025
04/06/2025;PANNTCA43TS;[PANNTCA43TS] EXPLORE PANTS CAB (S, Negro - 10);EXPLORE PANTS;CAB;S;Negro;1,00;La Grieta;junio-2025
04/06/2025;PANNTCA12TS;[PANNTCA12TS] EXPLORE PANTS CAB (S, Azul Marino - 5102);EXPLORE PANTS;CAB;S;Azul Marino;1,00;La Grieta;junio-2025
04/06/2025;PANNTCA12TS;[PANNTCA12TS] EXPLORE PANTS CAB (S, Azul Marino - 5102);EXPLORE PANTS;CAB;S;Azul Marino;1,00;La Grieta;junio-2025
04/06/2025;PANNTKI12T4;[PANNTKI12T4] EXPLORE PANTS KIDS (4, Azul Marino - 5102);EXPLORE PANTS;KIDS;4;Azul Marino;1,00;La Grieta;junio-2025
