Ubicación;Producto;SKU;MODELO;GENERO;TALLA;COLOR;Cantidad en inventario
CERRO VERDE;[JAPCA162TS] CUADRO JACKET 2.0 CAB (S, Azul Polo);JAPCA162TS;CUADRO JACKET 2.0 CAB;Caballero;S;Azul Polo;7,00
CERRO VERDE;[JAPCA43TS] CUADRO JACKET 2.0 CAB (S, NEGRO);JAPCA43TS;CUADRO JACKET 2.0 CAB;Caballero;S;Negro;2,00
CERRO VERDE;[JAPCA01TS] CUADRO JACKET 2.0 CAB (S, AGUAMARINA);JAPCA01TS;CUADRO JACKET 2.0 CAB;Caballero;S;Aguamarina;13,00
CERRO VERDE;[JAPCA66TS] CUADRO JACKET 2.0 CAB (S, VERDE MILITAR);JAPCA66TS;CUADRO JACKET 2.0 CAB;Caballero;S;Verde Militar;9,00
CERRO VERDE;[JAPCA16TS] CUADRO JACKET 2.0 CAB (S, BLANCO);JAPCA16TS;CUADRO JACKET 2.0 CAB;Caballero;S;Blanco;12,00
CERRO VERDE;[JAPCA66TM] CUADRO JACKET 2.0 CAB (M, VERDE MILITAR);JAPCA66TM;CUADRO JACKET 2.0 CAB;Caballero;M;Verde Militar;6,00
CERRO VERDE;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CUADRO JACKET 2.0 CAB;Caballero;M;Negro;9,00
CERRO VERDE;[JAPCA01TM] CUADRO JACKET 2.0 CAB (M, AGUAMARINA);JAPCA01TM;CUADRO JACKET 2.0 CAB;Caballero;M;Aguamarina;11,00
CERRO VERDE;[JAPCA16TM] CUADRO JACKET 2.0 CAB (M, BLANCO);JAPCA16TM;CUADRO JACKET 2.0 CAB;Caballero;M;Blanco;8,00
CERRO VERDE;[JAPCA162TL] CUADRO JACKET 2.0 CAB (L, Azul Polo);JAPCA162TL;CUADRO JACKET 2.0 CAB;Caballero;L;Azul Polo;4,00
CERRO VERDE;[JAPCA43TL] CUADRO JACKET 2.0 CAB (L, NEGRO);JAPCA43TL;CUADRO JACKET 2.0 CAB;Caballero;L;Negro;8,00
CERRO VERDE;[JAPCA66TL] CUADRO JACKET 2.0 CAB (L, VERDE MILITAR);JAPCA66TL;CUADRO JACKET 2.0 CAB;Caballero;L;Verde Militar;11,00
CERRO VERDE;[JAPCA01TL] CUADRO JACKET 2.0 CAB (L, AGUAMARINA);JAPCA01TL;CUADRO JACKET 2.0 CAB;Caballero;L;Aguamarina;10,00
CERRO VERDE;[JAPCA16TL] CUADRO JACKET 2.0 CAB (L, BLANCO);JAPCA16TL;CUADRO JACKET 2.0 CAB;Caballero;L;Blanco;8,00
CERRO VERDE;[JAPCA162T2XL] CUADRO JACKET 2.0 CAB (2XL, Azul Polo);JAPCA162T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Azul Polo;7,00
CERRO VERDE;[JAPCA43T2XL] CUADRO JACKET 2.0 CAB (2XL, NEGRO);JAPCA43T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Negro;7,00
CERRO VERDE;[JAPCA66T2XL] CUADRO JACKET 2.0 CAB (2XL, VERDE MILITAR);JAPCA66T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Verde Militar;4,00
CERRO VERDE;[JAPCA01T2XL] CUADRO JACKET 2.0 CAB (2XL, AGUAMARINA);JAPCA01T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Aguamarina;10,00
CERRO VERDE;[JAPCA16T2XL] CUADRO JACKET 2.0 CAB (2XL, BLANCO);JAPCA16T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Blanco;9,00
CERRO VERDE;[JAPDA162TXL] CUADRO JACKET 2.0 DAMA (XL, Azul Polo);JAPDA162TXL;CUADRO JACKET 2.0 DAMA;Dama;XL;Azul Polo;10,00
CERRO VERDE;[JAPCA01TXL] CUADRO JACKET 2.0 CAB (XL, AGUAMARINA);JAPCA01TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Aguamarina;10,00
CERRO VERDE;[JAPCA16TXL] CUADRO JACKET 2.0 CAB (XL, BLANCO);JAPCA16TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Blanco;8,00
CERRO VERDE;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Verde Militar;10,00
CERRO VERDE;[JAPDA162TXS] CUADRO JACKET 2.0 DAMA (XS, Azul Polo);JAPDA162TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Azul Polo;2,00
CERRO VERDE;[JAPDA01TXS] CUADRO JACKET 2.0 DAMA (XS, AGUAMARINA);JAPDA01TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Aguamarina;9,00
CERRO VERDE;[JAPDA35TXS] CUADRO JACKET 2.0 DAMA (XS, Magenta);JAPDA35TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Magenta;7,00
CERRO VERDE;[JAPDA16TXS] CUADRO JACKET 2.0 DAMA (XS, BLANCO);JAPDA16TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Blanco;9,00
CERRO VERDE;[JAPDA43TXS] CUADRO JACKET 2.0 DAMA (XS, NEGRO);JAPDA43TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Negro;8,00
CERRO VERDE;[JAPDA66TXS] CUADRO JACKET 2.0 DAMA (XS, VERDE MILITAR);JAPDA66TXS;CUADRO JACKET 2.0 DAMA;Dama;XS;Verde Militar;9,00
CERRO VERDE;[JAPDA01TS] CUADRO JACKET 2.0 DAMA (S, AGUAMARINA);JAPDA01TS;CUADRO JACKET 2.0 DAMA;Dama;S;Aguamarina;8,00
CERRO VERDE;[JAPDA66TS] CUADRO JACKET 2.0 DAMA (S, VERDE MILITAR);JAPDA66TS;CUADRO JACKET 2.0 DAMA;Dama;S;Verde Militar;4,00
CERRO VERDE;[JAPDA162TS] CUADRO JACKET 2.0 DAMA (S, Azul Polo);JAPDA162TS;CUADRO JACKET 2.0 DAMA;Dama;S;Azul Polo;9,00
CERRO VERDE;[JAPDA35TS] CUADRO JACKET 2.0 DAMA (S, Magenta);JAPDA35TS;CUADRO JACKET 2.0 DAMA;Dama;S;Magenta;7,00
CERRO VERDE;[JAPDA16TS] CUADRO JACKET 2.0 DAMA (S, BLANCO);JAPDA16TS;CUADRO JACKET 2.0 DAMA;Dama;S;Blanco;11,00
CERRO VERDE;[JAPDA43TS] CUADRO JACKET 2.0 DAMA (S, NEGRO);JAPDA43TS;CUADRO JACKET 2.0 DAMA;Dama;S;Negro;6,00
CERRO VERDE;[JAPDA16TM] CUADRO JACKET 2.0 DAMA (M, BLANCO);JAPDA16TM;CUADRO JACKET 2.0 DAMA;Dama;M;Blanco;9,00
CERRO VERDE;[JAPDA43TM] CUADRO JACKET 2.0 DAMA (M, NEGRO);JAPDA43TM;CUADRO JACKET 2.0 DAMA;Dama;M;Negro;6,00
CERRO VERDE;[JAPDA35TM] CUADRO JACKET 2.0 DAMA (M, Magenta);JAPDA35TM;CUADRO JACKET 2.0 DAMA;Dama;M;Magenta;8,00
CERRO VERDE;[JAPDA162TM] CUADRO JACKET 2.0 DAMA (M, Azul Polo);JAPDA162TM;CUADRO JACKET 2.0 DAMA;Dama;M;Azul Polo;10,00
