Año;Mes;Producto;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada
2025;DICIEMBRE;CUADRO JACKET 2.0 DAMA;[JAPDA16TM] CUADRO JACKET 2.0 DAMA (M, BLANCO);JAPDA16TM;DAMA;Blanco;M;WEB;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TXL] CUADRO JACKET 2.0 CAB (XL, NEGRO);JAPCA43TXL;CAB;Negro;XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 KIDS;[JAPKI01T2] CUADRO JACKET 2.0 KIDS (2, AGUAMARINA);JAPKI01T2;KIDS;Aguamarina;2;GRAND PLAZ;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TS] CUADRO JACKET 2.0 CAB (S, NEGRO);JAPCA43TS;CAB;Negro;S;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TS] CUADRO JACKET 2.0 CAB (S, AZUL POLO);JAPCA162TS;CAB;Azul Polo;S;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TL] CUADRO JACKET 2.0 CAB (L, NEGRO);JAPCA43TL;CAB;Negro;L;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TM] CUADRO JACKET 2.0 CAB (M, AZUL POLO);JAPCA162TM;CAB;Azul Polo;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TL] CUADRO JACKET 2.0 CAB (L, AZUL POLO);JAPCA162TL;CAB;Azul Polo;L;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TS] CUADRO JACKET 2.0 CAB (S, AZUL POLO);JAPCA162TS;CAB;Azul Polo;S;CERRO VERDE;-1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TM] CUADRO JACKET 2.0 CAB (M, AZUL POLO);JAPCA162TM;CAB;Azul Polo;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CAB;Negro;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TS] CUADRO JACKET 2.0 CAB (S, AZUL POLO);JAPCA162TS;CAB;Azul Polo;S;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA162TL] CUADRO JACKET 2.0 CAB (L, AZUL POLO);JAPCA162TL;CAB;Azul Polo;L;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TS] CUADRO JACKET 2.0 CAB (S, VERDE MILITAR);JAPCA66TS;CAB;Verde Militar;S;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TM] CUADRO JACKET 2.0 CAB (M, VERDE MILITAR);JAPCA66TM;CAB;Verde Militar;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CAB;Negro;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TL] CUADRO JACKET 2.0 CAB (L, NEGRO);JAPCA43TL;CAB;Negro;L;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TL] CUADRO JACKET 2.0 CAB (L, VERDE MILITAR);JAPCA66TL;CAB;Verde Militar;L;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 DAMA;[JAPDA01TL] CUADRO JACKET 2.0 DAMA (L, AGUAMARINA);JAPDA01TL;DAMA;Aguamarina;L;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 KIDS;[JAPKI35T4] CUADRO JACKET 2.0 KIDS (4, MAGENTA);JAPKI35T4;KIDS;Magenta;4;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA43TM] CUADRO JACKET 2.0 CAB (M, NEGRO);JAPCA43TM;CAB;Negro;M;CERRO VERDE;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA16TM] CUADRO JACKET 2.0 CAB (M, BLANCO);JAPCA16TM;CAB;Blanco;M;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA16T2XL] CUADRO JACKET 2.0 CAB (2XL, BLANCO);JAPCA16T2XL;CAB;Blanco;2XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;SAMBIL CHACAO;1
2025;DICIEMBRE;CUADRO JACKET 2.0 CAB;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CAB;Verde Militar;XL;SAMBIL CHACAO;1
