Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOSUCA154TS] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, S);SHOSUCA154TS;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;S;11,00
CERRO VERDE;[SHOSUCA154TM] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, M);SHOSUCA154TM;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;M;4,00
CERRO VERDE;[SHOSUCA154T2XL] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, 2XL);SHOSUCA154T2XL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;2XL;5,00
CERRO VERDE;[SHOSUCA154TXL] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, XL);SHOSUCA154TXL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;XL;3,00
CERRO VERDE;[SHOSUCA153TXL] SHORT PLAYA ESTAMPADO CAB (SAL, XL);SHOSUCA153TXL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;XL;1,00
CERRO VERDE;[SHOSUCA154TL] SHORT PLAYA ESTAMPADO CAB (SOMBRERO, L);SHOSUCA154TL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sombrero;L;4,00
CERRO VERDE;[SHOSUCA155TS] SHORT PLAYA ESTAMPADO CAB (PLAYUELA, S);SHOSUCA155TS;SHORT PLAYA ESTAMPADO CAB;Caballero;Playuela;S;2,00
CERRO VERDE;[SHOSUCA153TS] SHORT PLAYA ESTAMPADO CAB (SAL, S);SHOSUCA153TS;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;S;5,00
CERRO VERDE;[SHOSUCA153TM] SHORT PLAYA ESTAMPADO CAB (SAL, M);SHOSUCA153TM;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;M;4,00
CERRO VERDE;[SHOUNCA170T2XL] SHORT PLAYA CAB (Cereza, 2XL);SHOUNCA170T2XL;SHORT PLAYA CAB;Caballero;Cereza;2XL;2,00
CERRO VERDE;[SHOUNCA170TXL] SHORT PLAYA CAB (Cereza, XL);SHOUNCA170TXL;SHORT PLAYA CAB;Caballero;Cereza;XL;5,00
CERRO VERDE;[SHOUNCA38TXL] SHORT PLAYA CAB (Marron, XL);SHOUNCA38TXL;SHORT PLAYA CAB;Caballero;Marron;XL;3,00
CERRO VERDE;[SHOUNCA69TXL] SHORT PLAYA CAB (Verde Pino, XL);SHOUNCA69TXL;SHORT PLAYA CAB;Caballero;Verde Pino;XL;1,00
CERRO VERDE;[SHOUNCA187TXL] SHORT PLAYA CAB (Azul Pizarra, XL);SHOUNCA187TXL;SHORT PLAYA CAB;Caballero;Azul Pizarra;XL;1,00
CERRO VERDE;[SHOUNCA186TXL] SHORT PLAYA CAB (Azul Verdoso, XL);SHOUNCA186TXL;SHORT PLAYA CAB;Caballero;Azul Verdoso;XL;3,00
CERRO VERDE;[SHOUNCA38T2XL] SHORT PLAYA CAB (Marron, 2XL);SHOUNCA38T2XL;SHORT PLAYA CAB;Caballero;Marron;2XL;2,00
CERRO VERDE;[SHOUNCA69TL] SHORT PLAYA CAB (Verde Pino, L);SHOUNCA69TL;SHORT PLAYA CAB;Caballero;Verde Pino;L;3,00
