Año;Mes;Producto;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada
2025;OCTUBRE;SHORT PLAYA ESTAMPADO KIDS;[SHOSUKI155T2] SHORT PLAYA ESTAMPADO KIDS (2, PLAYUELA);SHOSUKI155T2;KIDS;Playuela;2;GRAND PLAZ;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TM] SHORT PLAYA ESTAMPADO CAB (M, PLAYUELA);SHOSUCA155TM;CAB;Playuela;M;GRAND PLAZ;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA153TL] SHORT PLAYA ESTAMPADO CAB (L, SAL);SHOSUCA153TL;CAB;Sal;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO KIDS;[SHOSUKI156T14] SHORT PLAYA ESTAMPADO KIDS (14, TUCUPIDO);SHOSUKI156T14;KIDS;Tucupido;14;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO KIDS;[SHOSUKI156T6] SHORT PLAYA ESTAMPADO KIDS (6, TUCUPIDO);SHOSUKI156T6;KIDS;Tucupido;6;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO KIDS;[SHOSUKI155T12] SHORT PLAYA ESTAMPADO KIDS (12, PLAYUELA);SHOSUKI155T12;KIDS;Playuela;12;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA KIDS;[SHOUNKI68T8] SHORT PLAYA KIDS (8, Verde Oliva - 160421);SHOUNKI68T8;KIDS;Verde Oliva;8;WEB;1
2025;OCTUBRE;SHORT PLAYA KIDS;[SHOUNKI12T12] SHORT PLAYA KIDS (12, Azul Marino - 5102);SHOUNKI12T12;KIDS;Azul Marino;12;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA13TL] SHORT PLAYA CAB (L, Azul Rey - 194053);SHOUNCA13TL;CAB;Azul Rey;L;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA KIDS;[SHOUNKI33T2] SHORT PLAYA KIDS (2, Kaki - 161105);SHOUNKI33T2;KIDS;Kaki;2;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA33TL] SHORT PLAYA CAB (L, Kaki - 161105);SHOUNCA33TL;CAB;Kaki;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA29TL] SHORT PLAYA CAB (L, Gris Azulado - 194316);SHOUNCA29TL;CAB;Gris Azulado;L;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA153TL] SHORT PLAYA ESTAMPADO CAB (L, SAL);SHOSUCA153TL;CAB;Sal;L;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA153TM] SHORT PLAYA ESTAMPADO CAB (M, SAL);SHOSUCA153TM;CAB;Sal;M;SAMBIL VALENCIA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA154TM] SHORT PLAYA ESTAMPADO CAB (M, SOMBRERO);SHOSUCA154TM;CAB;Sombrero;M;SAMBIL VALENCIA;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA57TL] SHORT PLAYA CAB (L, Terracota - 161344);SHOUNCA57TL;CAB;Terracota;L;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;SAMBIL VALENCIA;1
2025;OCTUBRE;SHORT PLAYA KIDS;[SHOUNKI50T6] SHORT PLAYA KIDS (6, Rojo - 3392);SHOUNKI50T6;KIDS;Rojo;6;PEDIDOS;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA156TXL] SHORT PLAYA ESTAMPADO CAB (XL, TUCUPIDO);SHOSUCA156TXL;CAB;Tucupido;XL;SAMBIL VALENCIA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA153TL] SHORT PLAYA ESTAMPADO CAB (L, SAL);SHOSUCA153TL;CAB;Sal;L;SAMBIL VALENCIA;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA156TL] SHORT PLAYA ESTAMPADO CAB (L, TUCUPIDO);SHOSUCA156TL;CAB;Tucupido;L;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA155TL] SHORT PLAYA ESTAMPADO CAB (L, PLAYUELA);SHOSUCA155TL;CAB;Playuela;L;SAMBIL CHACAO;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA57TS] SHORT PLAYA CAB (S, Terracota - 161344);SHOUNCA57TS;CAB;Terracota;S;CERRO VERDE;1
2025;OCTUBRE;SHORT PLAYA ESTAMPADO CAB;[SHOSUCA154TL] SHORT PLAYA ESTAMPADO CAB (L, SOMBRERO);SHOSUCA154TL;CAB;Sombrero;L;GRIETA;1
2025;OCTUBRE;SHORT PLAYA CAB;[SHOUNCA23TM] SHORT PLAYA CAB (M, Coral - 181649);SHOUNCA23TM;CAB;Coral;M;SAMBIL CHACAO;1
