Año;Mes;Producto;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA16TXL] CLÁSICA SPORT DAMA (Blanco - New White, XL);CLAMEDA16TXL;DAMA;Blanco - New White;XL;GRIETA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA13TS] CLÁSICA SPORT DAMA (Azul Mazari - Azul Mazari, S);CLAMEDA13TS;DAMA;Azul Mazari - Azul Mazari;S;SAMBIL VALENCIA;1
2025;OCTUBRE;SABRI SPORT DAMA;[SABMEDA13TM] SABRI SPORT DAMA (M, Azul Rey - 50122);SABMEDA13TM;DAMA;Azul Rey;M;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA13TL] CLÁSICA SPORT DAMA (Azul Mazari - Azul Mazari, L);CLAMEDA13TL;DAMA;Azul Mazari - Azul Mazari;L;SAMBIL VALENCIA;1
2025;OCTUBRE;SABRI SPORT DAMA;[SABMEDA30TM] SABRI SPORT DAMA (M, Gris Claro - 9734);SABMEDA30TM;DAMA;Gris Claro;M;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA30TS] CLASICA SPORT CAB (S, Gris Claro - Gris Ceniza);CLAMECA30TS;CAB;Gris Claro - Gris Ceniza;S;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA16TS] CLASICA SPORT CAB (S, Blanco - New White);CLAMECA16TS;CAB;Blanco - New White;S;GRIETA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA12TM] CLÁSICA SPORT DAMA (Azul Marino - Azul Cori, M);CLAMEDA12TM;DAMA;Azul Marino - Azul Cori;M;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA16TS] CLÁSICA SPORT DAMA (Blanco - New White, S);CLAMEDA16TS;DAMA;Blanco - New White;S;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT KIDS;[CLAMEKI12T8] CLASICA SPORT KIDS (8, Azul Marino - Azul Cori);CLAMEKI12T8;KIDS;Azul Marino - Azul Cori;8;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA13TL] CLASICA SPORT CAB (L, Azul Mazari - Azul Mazari);CLAMECA13TL;CAB;Azul Mazari - Azul Mazari;L;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA12TXL] CLASICA SPORT CAB (XL, Azul Marino - Azul Cori);CLAMECA12TXL;CAB;Azul Marino - Azul Cori;XL;SAMBIL CHACAO;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA13T2XL] CLASICA SPORT CAB (2XL, Azul Mazari - Azul Mazari);CLAMECA13T2XL;CAB;Azul Mazari - Azul Mazari;2XL;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA66T2XL] CLASICA SPORT CAB (2XL, Verde Militar - Verde Hoja);CLAMECA66T2XL;CAB;Verde Militar - Verde Hoja;2XL;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT KIDS;[CLAMEKI30T12] CLASICA SPORT KIDS (12, Gris Claro - Gris Ceniza);CLAMEKI30T12;KIDS;Gris Claro - Gris Ceniza;12;GRIETA;1
2025;OCTUBRE;MAFE SPORT DAMA;[MAFMEDA51TXL] MAFE SPORT DAMA (Rosa Palo -  Rosa Seca, XL);MAFMEDA51TXL;DAMA;Rosa Palo - Rosa Seca;XL;GRAND PLAZ;1
2025;OCTUBRE;MAFE SPORT DAMA;[MAFMEDA66TXL] MAFE SPORT DAMA (Verde Militar - Verde Hoja, XL);MAFMEDA66TXL;DAMA;Verde Militar - Verde Hoja;XL;GRAND PLAZ;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA66TM] CLASICA SPORT CAB (M, Verde Militar - Verde Hoja);CLAMECA66TM;CAB;Verde Militar - Verde Hoja;M;CERRO VERDE;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA30TL] CLASICA SPORT CAB (L, Gris Claro - Gris Ceniza);CLAMECA30TL;CAB;Gris Claro - Gris Ceniza;L;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA13TXS] CLÁSICA SPORT DAMA (Azul Mazari - Azul Mazari, XS);CLAMEDA13TXS;DAMA;Azul Mazari - Azul Mazari;XS;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA16TXS] CLÁSICA SPORT DAMA (Blanco - New White, XS);CLAMEDA16TXS;DAMA;Blanco - New White;XS;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA30TXL] CLASICA SPORT CAB (XL, Gris Claro - Gris Ceniza);CLAMECA30TXL;CAB;Gris Claro - Gris Ceniza;XL;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT KIDS;[CLAMEKI66T10] CLASICA SPORT KIDS (10, Verde Militar - Verde Hoja);CLAMEKI66T10;KIDS;Verde Militar - Verde Hoja;10;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA43T2XL] CLASICA SPORT CAB (2XL, Negro - Negro);CLAMECA43T2XL;CAB;Negro - Negro;2XL;GRIETA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA66TM] CLÁSICA SPORT DAMA (Verde Militar - Verde Hoja, M);CLAMEDA66TM;DAMA;Verde Militar - Verde Hoja;M;SAMBIL VALENCIA;1
2025;OCTUBRE;CLASICA SPORT KIDS;[CLAMEKI66T10] CLASICA SPORT KIDS (10, Verde Militar - Verde Hoja);CLAMEKI66T10;KIDS;Verde Militar - Verde Hoja;10;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA12TXS] CLÁSICA SPORT DAMA (Azul Marino - Azul Cori, XS);CLAMEDA12TXS;DAMA;Azul Marino - Azul Cori;XS;SAMBIL VALENCIA;1
2025;OCTUBRE;SABRI SPORT DAMA;[SABMEDA16TL] SABRI SPORT DAMA (L, Blanco - 1259j);SABMEDA16TL;DAMA;Blanco;L;SAMBIL VALENCIA;1
2025;OCTUBRE;SABRI SPORT DAMA;[SABMEDA43TM] SABRI SPORT DAMA (M, Negro - 10);SABMEDA43TM;DAMA;Negro;M;SAMBIL VALENCIA;1
2025;OCTUBRE;SABRI SPORT DAMA;[SABMEDA16TM] SABRI SPORT DAMA (M, Blanco - 1259j);SABMEDA16TM;DAMA;Blanco;M;SAMBIL VALENCIA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA16TS] CLÁSICA SPORT DAMA (Blanco - New White, S);CLAMEDA16TS;DAMA;Blanco - New White;S;WEB;1
2025;OCTUBRE;MAFE SPORT DAMA;[MAFMEDA16TL] MAFE SPORT DAMA (Blanco - New White, L);MAFMEDA16TL;DAMA;Blanco - New White;L;WEB;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA16TXL] CLASICA SPORT CAB (XL, Blanco - New White);CLAMECA16TXL;CAB;Blanco - New White;XL;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA16TM] CLASICA SPORT CAB (M, Blanco - New White);CLAMECA16TM;CAB;Blanco - New White;M;GRIETA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA13TS] CLÁSICA SPORT DAMA (Azul Mazari - Azul Mazari, S);CLAMEDA13TS;DAMA;Azul Mazari - Azul Mazari;S;GRIETA;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA16TS] CLÁSICA SPORT DAMA (Blanco - New White, S);CLAMEDA16TS;DAMA;Blanco - New White;S;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA16TM] CLASICA SPORT CAB (M, Blanco - New White);CLAMECA16TM;CAB;Blanco - New White;M;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA30TL] CLASICA SPORT CAB (L, Gris Claro - Gris Ceniza);CLAMECA30TL;CAB;Gris Claro - Gris Ceniza;L;CERRO VERDE;1
2025;OCTUBRE;CLÁSICA SPORT DAMA;[CLAMEDA13TXL] CLÁSICA SPORT DAMA (Azul Mazari - Azul Mazari, XL);CLAMEDA13TXL;DAMA;Azul Mazari - Azul Mazari;XL;GRIETA;1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA43TXL] CLASICA SPORT CAB (XL, Negro - Negro);CLAMECA43TXL;CAB;Negro - Negro;XL;GRIETA;-1
2025;OCTUBRE;CLASICA SPORT CAB;[CLAMECA43TL] CLASICA SPORT CAB (L, Negro - Negro);CLAMECA43TL;CAB;Negro - Negro;L;GRIETA;1
