Ubicación;Producto;SKU;MODELO;GENERO;COLOR;DISEÑO;TALLA;Cantidad en inventario
TALLER;[SMCBNECA16TS] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, S);SMCBNECA16TS;SPOTS MANGA CORTA;CAB;Blanco;Nueva Esparta;S;1
TALLER;[SMCBNECA16TL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, L);SMCBNECA16TL;SPOTS MANGA CORTA;CAB;Blanco;Nueva Esparta;L;2
TALLER;[SMCBNECA16T2XL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, 2XL);SMCBNECA16T2XL;SPOTS MANGA CORTA;CAB;Blanco;Nueva Esparta;2XL;2
TALLER;[SMCBNEDA16TS] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, S);SMCBNEDA16TS;SPOTS MANGA CORTA;DAMA;Blanco;Nueva Esparta;S;3
TALLER;[SMCBNEDA16TM] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, M);SMCBNEDA16TM;SPOTS MANGA CORTA;DAMA;Blanco;Nueva Esparta;M;2
TALLER;[SMCBNEDA16TL] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, L);SMCBNEDA16TL;SPOTS MANGA CORTA;DAMA;Blanco;Nueva Esparta;L;2
TALLER;[SMCBNEDA16TXL] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, XL);SMCBNEDA16TXL;SPOTS MANGA CORTA;DAMA;Blanco;Nueva Esparta;XL;1
TALLER;[SMLBLICA16TS] SPOTS MANGA LARGA CAB (S);SMLBLICA16TS;SPOTS MANGA LARGA;CAB;Blanco;;S;3
TALLER;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;SPOTS MANGA LARGA;CAB;Blanco;;M;2
TALLER;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;SPOTS MANGA LARGA;CAB;Blanco;;L;6
TALLER;[SMLBLICA16TXL] SPOTS MANGA LARGA CAB (XL);SMLBLICA16TXL;SPOTS MANGA LARGA;CAB;Blanco;;XL;1
TALLER;[SMLBLICA16T2XL] SPOTS MANGA LARGA CAB (2XL);SMLBLICA16T2XL;SPOTS MANGA LARGA;CAB;Blanco;;2XL;1
TALLER;[SMLBLIDA16TS] SPOTS MANGA LARGA DAMA (S);SMLBLIDA16TS;SPOTS MANGA LARGA;DAMA;Blanco;;S;2
TALLER;[SMLBLIDA16TM] SPOTS MANGA LARGA DAMA (M);SMLBLIDA16TM;SPOTS MANGA LARGA;DAMA;Blanco;;M;4
TALLER;[SMLBLIDA16TL] SPOTS MANGA LARGA DAMA (L);SMLBLIDA16TL;SPOTS MANGA LARGA;DAMA;Blanco;;L;1
TALLER;[SMLBLIDA16TXL] SPOTS MANGA LARGA DAMA (XL);SMLBLIDA16TXL;SPOTS MANGA LARGA;DAMA;Blanco;;XL;1
VELA;[SMCBNECA16TS] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, S);SMCBNECA16TS;SPOTS MANGA CORTA;CAB;Blanco;Nueva Esparta;S;1
