Año;Mes;modelo;Variante del producto;SKU;GENERO;COLOR;DISEÑO;TALLA;tienda / ubicación;Cant. ordenada;fecha (mes año)
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHDA16TXS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, XS);SMCVDVBHDA16TXS;DAMA;Blanco;Virgen del Valle;XS;La Vela;1;septiembre-2026
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHDA16TM] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, M);SMCVDVBHDA16TM;DAMA;Blanco;Virgen del Valle;M;La Vela;1;septiembre-2026
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHDA16TL] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, L);SMCVDVBHDA16TL;DAMA;Blanco;Virgen del Valle;L;La Vela;1;septiembre-2026
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHDA16TL] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, L);SMCVDVBHDA16TL;DAMA;Blanco;Virgen del Valle;L;La Vela;1;septiembre-2026
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHCA16TL] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, L);SMCVDVBHCA16TL;CAB;Blanco;Virgen del Valle;L;La Vela;1;septiembre-2026
2026;septiembre;SPOTS MANGA CORTA;[SMCVDVBHCA16TM] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, M);SMCVDVBHCA16TM;CAB;Blanco;Virgen del Valle;M;La Vela;1;septiembre-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TXL] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, XL);SMCVDVBHCA16TXL;CAB;Blanco;Virgen del Valle;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TXS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, XS);SMCVDVBHDA16TXS;DAMA;Blanco;Virgen del Valle;XS;La Vela;2;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;La Vela;2;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TM] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, M);SMCVDVBHDA16TM;DAMA;Blanco;Virgen del Valle;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TXS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, XS);SMCVDVBHDA16TXS;DAMA;Blanco;Virgen del Valle;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TXS] SPOTS MANGA LARGA DAMA (XS);SMLBLIDA16TXS;DAMA;Blanco;Manga Larga;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TS] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, S);SMCVDVBHCA16TS;CAB;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TXS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, XS);SMCVDVBHDA16TXS;DAMA;Blanco;Virgen del Valle;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TL] SPOTS MANGA LARGA DAMA (L);SMLBLIDA16TL;DAMA;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TXS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, XS);SMCVDVBHDA16TXS;DAMA;Blanco;Virgen del Valle;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;CAB;Blanco;Manga Larga;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TM] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, M);SMCVDVBHCA16TM;CAB;Blanco;Virgen del Valle;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TM] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, M);SMCVDVBHDA16TM;DAMA;Blanco;Virgen del Valle;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TL] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, L);SMCVDVBHCA16TL;CAB;Blanco;Virgen del Valle;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TL] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, L);SMCVDVBHDA16TL;DAMA;Blanco;Virgen del Valle;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TM] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, M);SMCVDVBHDA16TM;DAMA;Blanco;Virgen del Valle;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TS] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, S);SMCVDVBHCA16TS;CAB;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16TS] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, S);SMCVDVBHCA16TS;CAB;Blanco;Virgen del Valle;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TM] SPOTS MANGA LARGA DAMA (M);SMLBLIDA16TM;DAMA;Blanco;Manga Larga;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;CAB;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNECA16T2XL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, 2XL);SMCBNECA16T2XL;CAB;Blanco;Nueva Esparta;2XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;CAB;Blanco;Manga Larga;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TL] SPOTS MANGA LARGA DAMA (L);SMLBLIDA16TL;DAMA;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;CAB;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / Virgen del Valle, S);SMCVDVBHDA16TS;DAMA;Blanco;Virgen del Valle;S;Pedidos;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCLIBHDA16TS] SPOTS MANGA CORTA DAMA (Blanco / La Isla, S);SMCLIBHDA16TS;DAMA;Blanco;La Isla;S;Pedidos;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCVDVBHCA16T2XL] SPOTS MANGA CORTA CAB (Blanco / Virgen del Valle, 2XL);SMCVDVBHCA16T2XL;CAB;Blanco;Virgen del Valle;2XL;Pedidos;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCLIBHCA16T2XL] SPOTS MANGA CORTA CAB (Blanco / La Isla, 2XL);SMCLIBHCA16T2XL;CAB;Blanco;La Isla;2XL;Pedidos;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TXS] SPOTS MANGA LARGA DAMA (XS);SMLBLIDA16TXS;DAMA;Blanco;Manga Larga;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;CAB;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TXL] SPOTS MANGA LARGA CAB (XL);SMLBLICA16TXL;CAB;Blanco;Manga Larga;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TXL] SPOTS MANGA LARGA CAB (XL);SMLBLICA16TXL;CAB;Blanco;Manga Larga;XL;La Vela;-1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TXL] SPOTS MANGA LARGA CAB (XL);SMLBLICA16TXL;CAB;Blanco;Manga Larga;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNECA16T2XL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, 2XL);SMCBNECA16T2XL;CAB;Blanco;Nueva Esparta;2XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;CAB;Blanco;Manga Larga;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TXS] SPOTS MANGA LARGA DAMA (XS);SMLBLIDA16TXS;DAMA;Blanco;Manga Larga;XS;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNEDA16TS] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, S);SMCBNEDA16TS;DAMA;Blanco;Nueva Esparta;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TS] SPOTS MANGA LARGA CAB (S);SMLBLICA16TS;CAB;Blanco;Manga Larga;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TS] SPOTS MANGA LARGA DAMA (S);SMLBLIDA16TS;DAMA;Blanco;Manga Larga;S;La Vela;1;agosto-2026
