Ubicaci�n;Producto;SKU;MODELO;COLOR;Cantidad en inventario
CERRO VERDE;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;13,00
CERRO VERDE;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;16,00
CERRO VERDE;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;12,00
CERRO VERDE;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;12,00
CERRO VERDE;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;18,00
CERRO VERDE;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;7,00
CERRO VERDE;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;13,00
CERRO VERDE;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;8,00
CERRO VERDE;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;3,00
CERRO VERDE;[TRA1340L] TRAVEL BAG 40L (Azul Rey);TRA1340L;TRAVEL BAG 40L;Azul Rey;10,00
CERRO VERDE;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;1,00
CERRO VERDE;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;1,00
CERRO VERDE;[DRY6630L] DRY BAG 30L (Verde Militar);DRY6630L;DRY BAG 30L;Verde Militar;1,00
CERRO VERDE;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;4,00
CERRO VERDE;[TRA1340L] TRAVEL BAG 40L (Azul Rey);TRA1340L;TRAVEL BAG 40L;Azul Rey;2,00
CERRO VERDE;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;1,00
CERRO VERDE;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;5,00
CERRO VERDE;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;3,00
CERRO VERDE;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;7,00
CERRO VERDE;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;5,00
CERRO VERDE;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;6,00
CERRO VERDE;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;4,00
CERRO VERDE;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;2,00
CERRO VERDE;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;1,00
CERRO VERDE;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;-1,00
CHACAO;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;11,00
CHACAO;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;11,00
CHACAO;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;3,00
CHACAO;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;15,00
CHACAO;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;11,00
CHACAO;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;16,00
CHACAO;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;17,00
CHACAO;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;9,00
CHACAO;[DRY4330L] DRY BAG 30L (Negro);DRY4330L;DRY BAG 30L;Negro;1,00
CHACAO;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;1,00
CHACAO;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;5,00
CHACAO;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;18,00
CHACAO;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;1,00
CHACAO;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;2,00
CHACAO;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;5,00
CHACAO;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;1,00
CHACAO;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;3,00
CHACAO;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;2,00
CHACAO;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;3,00
