Fecha de la orden;Producto;Variante del producto;sku;modelo;color;Cant. ordenada;ubicaci�n;fecha
23/05/2025;TRAVEL BAG 40L;[TRA4340L] TRAVEL BAG 40L (Negro - 10);TRA4340L;TRAVEL BAG 40L;Negro;1,00;La Grieta;mayo-2025
26/05/2025;TRAVEL BAG 40L;[TRA4340L] TRAVEL BAG 40L (Negro - 10);TRA4340L;TRAVEL BAG 40L;Negro;1,00;La Grieta;mayo-2025
27/05/2025;TRAVEL BAG 40L;[TRA1340L] TRAVEL BAG 40L (Azul Rey - 50122);TRA1340L;TRAVEL BAG 40L;Azul Rey;1,00;La Grieta;mayo-2025
28/05/2025;TRAVEL BAG 40L;[TRA4340L] TRAVEL BAG 40L (Negro - 10);TRA4340L;TRAVEL BAG 40L;Negro;1,00;La Grieta;mayo-2025
28/05/2025;TRAVEL BAG 40L;[TRA4340L] TRAVEL BAG 40L (Negro - 10);TRA4340L;TRAVEL BAG 40L;Negro;1,00;La Grieta;mayo-2025
02/06/2025;TRAVEL BAG 40L;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro - 9271);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;1,00;La Grieta;junio-2025
03/06/2025;TRAVEL BAG 40L;[TRA1340L] TRAVEL BAG 40L (Azul Rey - 50122);TRA1340L;TRAVEL BAG 40L;Azul Rey;1,00;La Grieta;junio-2025
05/06/2025;TRAVEL BAG 40L;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro - 9271);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;1,00;La Grieta;junio-2025
05/06/2025;TRAVEL BAG 40L;[TRA4340L] TRAVEL BAG 40L (Negro - 10);TRA4340L;TRAVEL BAG 40L;Negro;-1,00;La Grieta;junio-2025
07/06/2025;TRAVEL BAG 40L;[TRA1340L] TRAVEL BAG 40L (Azul Rey - 50122);TRA1340L;TRAVEL BAG 40L;Azul Rey;1,00;La Grieta;junio-2025
